id,source,description,host_id,host_url,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,amenity_count,zipcode,INCOME_HOUSEHOLD_MEDIAN,price_per_person,log_price,host_listing_ratio,is_entire_home,host_verification_count
9501054.0,city scrape,"Great location within walking distance to the Capital. It is a good size bedroom with WiFi internet . Private full bath.  We provide in the room a small refrigerator, Microwave ,coffee pot,iron ,hair dryer and  TV. Lots of entertainment nearby. Brew pubs, restaurants, the NYS Museum. Governor's Mansion. Washington Park.Capital Rep Theater as well as the Palace Theater.",29288920,https://www.airbnb.com/users/show/29288920,3/13/2015,"Albany, NY",within an hour,100%,99%,t,,2,2,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,SECOND WARD,,42.64734,-73.75851,Private room in rental unit,Private room,2,1.0,1 private bath,1,2,"[""Iron"", ""Mini fridge"", ""Window AC unit"", ""Coffee maker"", ""Shampoo"", ""Refrigerator"", ""Long term stays allowed"", ""Essentials"", ""Self check-in"", ""Lock on bedroom door"", ""Portable fans"", ""Shower gel"", ""Hangers"", ""Bed linens"", ""Lockbox"", ""Private entrance"", ""Smoke alarm"", ""Hair dryer"", ""Microwave"", ""Heating"", ""Dedicated workspace"", ""TV with standard cable"", ""Carbon monoxide alarm"", ""Hot water"", ""Wifi"", ""Free street parking"", ""Laundromat nearby"", ""Dishes and silverware""]",52,1,60,1,1,60,60,1.0,60.0,,t,11,25,52,52,415,36,2,52,42,216,11232,2/2/2016,4/25/2025,4.56,4.72,4.51,4.84,4.86,4.76,4.67,f,2,1,1,0,3.69,28,12207,32418,26.0,3.970291914,0.090909091,0,3
11639446.0,city scrape,"Regular breakfast free<br /><br />Lunch packed $5<br />Dinner Plate $10<br /><br />We updated cleaning protocol because of COVID-19 pandemic<br /><br />OUR PRIORITY IS ORGANIC LIFE SO OTHER THING IS LESS IMPORTANT <br />FREE LAUNDRY <br />AIR CONDITIONING <br />No parking space on premises just street parking<br />.<br />Internet High speed WiFi,<br />This building is 100 years older.<br />We don't use chemical pesticides ,chemical cleaning stuff.We use Vinegar,baking powder,biological pesticides .<br />Therefore not fancy clea",61700428,https://www.airbnb.com/users/show/61700428,3/5/2016,"Albany, NY",Unknown,,50%,f,,2,2,"['email', 'phone']",t,t,Neighborhood highlights,ELEVENTH WARD,,42.67583,-73.78297,Private room in home,Private room,1,1.5,1.5 shared baths,0,1,"[""Books and reading material"", ""Breakfast"", ""Shampoo"", ""Refrigerator"", ""Long term stays allowed"", ""Essentials"", ""Cooking basics"", ""Free dryer \u2013 In building"", ""Dishes and silverware"", ""Conditioner"", ""Kitchen"", ""First aid kit"", ""Hangers"", ""Host greets you"", ""Smoke alarm"", ""Free washer \u2013 In building"", ""Hair dryer"", ""Clothing storage: closet"", ""Microwave"", ""Heating"", ""Carbon monoxide alarm"", ""Oven"", ""Hot water"", ""Gas stove"", ""Wifi"", ""Free street parking"", ""Dishwasher"", ""Safe""]",55,15,112,15,15,112,112,15.0,112.0,,t,30,60,90,365,231,0,0,244,2,0,0,5/31/2016,2/29/2024,4.81,4.87,4.37,4.94,4.96,4.52,4.87,f,2,0,2,0,2.13,28,12206,38931,55.0,4.025351691,0.090909091,0,2
21769213.0,city scrape,"Relax in our cozy home on a quiet one-way street. Plenty of free street parking available.<br />With a large dining and living room, fully stocked kitchen, and furnished private room, our home is the perfect affordable stay for working professionals, students, and people in-between housing.<br /><br /><br />Newly furnished and renovated in 2017.<br />Minutes from major universities and hospitals.<br />Entire home is 3 bed 1 bath (you have a private bedroom with door lock).<br />CDTA Bus stop 1 block away.",135717458,https://www.airbnb.com/users/show/135717458,6/18/2017,"Gloversville, NY",within an hour,100%,100%,t,,15,15,['phone'],t,t,,ELEVENTH WARD,,42.66572,-73.77834,Private room in home,Private room,2,1.0,1 shared bath,1,1,"[""Books and reading material"", ""Iron"", ""Luggage dropoff allowed"", ""Window AC unit"", ""Refrigerator"", ""Long term stays allowed"", ""Coffee maker: drip coffee maker"", ""Essentials"", ""Toaster"", ""Cooking basics"", ""Freezer"", ""Self check-in"", ""Baking sheet"", ""Lock on bedroom door"", ""Kitchen"", ""First aid kit"", ""Hangers"", ""Free dryer \u2013 In unit"", ""Keypad"", ""TV"", ""Bathtub"", ""Bed linens"", ""Stove"", ""Fire extinguisher"", ""Free washer \u2013 In unit"", ""Smoke alarm"", ""Hair dryer"", ""Clothing storage: closet"", ""Shared patio or balcony"", ""Microwave"", ""Dining table"", ""Dedicated workspace"", ""Carbon monoxide alarm"", ""Oven"", ""Hot water"", ""Wifi"", ""Free street parking"", ""Cleaning products"", ""Blender"", ""Shared backyard \u2013 Fully fenced"", ""Dishwasher"", ""Outdoor furniture"", ""Radiant heating"", ""Dishes and silverware""]",32,18,1125,18,18,1125,1125,18.0,1125.0,,t,0,0,0,271,32,8,0,150,9,255,8160,12/28/2017,2/28/2025,4.84,4.78,4.69,4.97,4.97,4.69,4.69,t,3,0,3,0,0.36,44,12206,38931,16.0,3.496507561,0.136363636,0,1
21769439.0,city scrape,"Relax in our cozy home on a quiet one-way street. Plenty of free street parking available.<br />With a large dining and living room, fully stocked kitchen, and furnished private room, our home is the perfect affordable stay for working professionals, students, and people in-between housing.<br /><br /><br />Newly furnished and renovated in 2017.<br />Minutes from major universities and hospitals.<br />Entire home is 3 bed 1 bath (you have a private bedroom with door lock).<br />CDTA Bus stop 1 block away.",135717458,https://www.airbnb.com/users/show/135717458,6/18/2017,"Gloversville, NY",within an hour,100%,100%,t,,15,15,['phone'],t,t,,ELEVENTH WARD,,42.66703,-73.77842,Private room in home,Private room,1,1.0,1 shared bath,1,1,"[""Books and reading material"", ""Iron"", ""Luggage dropoff allowed"", ""Window AC unit"", ""Hammock"", ""Refrigerator"", ""Long term stays allowed"", ""Coffee maker: drip coffee maker"", ""Essentials"", ""Toaster"", ""Cooking basics"", ""Freezer"", ""Self check-in"", ""Baking sheet"", ""Lock on bedroom door"", ""First aid kit"", ""Hangers"", ""Free dryer \u2013 In unit"", ""Keypad"", ""TV"", ""Bathtub"", ""Bed linens"", ""Stove"", ""Fire extinguisher"", ""Free washer \u2013 In unit"", ""Smoke alarm"", ""Hair dryer"", ""Clothing storage: walk-in closet"", ""Microwave"", ""Shared patio or balcony"", ""Dining table"", ""Dedicated workspace"", ""Carbon monoxide alarm"", ""Oven"", ""Hot water"", ""Wifi"", ""Free street parking"", ""Cleaning products"", ""Blender"", ""Shared backyard \u2013 Fully fenced"", ""Dishwasher"", ""Outdoor furniture"", ""Radiant heating"", ""Dishes and silverware""]",35,18,1125,18,18,1125,1125,18.0,1125.0,,t,13,43,73,348,26,4,0,227,4,144,5040,12/16/2017,1/24/2025,4.77,4.65,4.58,4.96,5.0,4.69,4.73,t,3,0,3,0,0.29,44,12206,38931,35.0,3.583518938,0.136363636,0,1
33558235.0,city scrape,"BOOK this 2-bedroom 2nd floor apt. w/ full amenities! Renovated historic 200-year-old building in quiet neighborhood of Albany's Pastures. Great location near Albany Medical Center, MVP Arena, Empire State Plaza, Library, Lark Street, State Offices, courts; easy access to local & regional bus routes and highways (I-787, I-90 & I-87). <br /><br />Accommodates up to 6 NON-SMOKING guests.<br />Toiletries included.<br /><br />Save & BOOK this trendy suite w/ deck today!<br />Message me anytime. Hope to welcome you soon!<br /><br />-Earl",44434571,https://www.airbnb.com/users/show/44434571,9/17/2015,,within an hour,100%,99%,t,Pastures,9,11,"['email', 'phone']",t,t,Neighborhood highlights,SECOND WARD,,42.64585,-73.75297,Entire rental unit,Entire home/apt,6,1.0,1 bath,2,2,"[""Iron"", ""Luggage dropoff allowed"", ""Window AC unit"", ""Crib"", ""Coffee maker"", ""Shampoo"", ""Refrigerator"", ""Long term stays allowed"", ""Exterior security cameras on property"", ""Essentials"", ""Cooking basics"", ""Freezer"", ""52 inch HDTV with Amazon Prime Video, Chromecast, Disney+, Fire TV, Hulu, Netflix"", ""Noise decibel monitors on property"", ""Self check-in"", ""Conditioner"", ""Kitchen"", ""First aid kit"", ""Pets allowed"", ""Smart lock"", ""Shower gel"", ""Hangers"", ""Ceiling fan"", ""Private patio or balcony"", ""Bathtub"", ""Bed linens"", ""Pack \u2019n play/Travel crib - always at the listing"", ""Extra pillows and blankets"", ""Stove"", ""Fire extinguisher"", ""Private entrance"", ""Body soap"", ""Paid parking off premises"", ""Smoke alarm"", ""Free washer \u2013 In building"", ""Hair dryer"", ""Free parking on premises"", ""Microwave"", ""Dining table"", ""Heating"", ""Dedicated workspace"", ""Paid parking on premises"", ""Carbon monoxide alarm"", ""Oven"", ""Hot water"", ""Wifi"", ""Free street parking"", ""Laundromat nearby"", ""Shared backyard \u2013 Fully fenced"", ""Clothing storage"", ""Dishes and silverware""]",86,1,28,1,3,1125,1125,2.2,1125.0,,t,22,47,74,345,451,45,3,224,37,255,21930,4/20/2019,4/28/2025,4.75,4.8,4.75,4.84,4.87,4.63,4.76,f,9,9,0,0,6.14,51,12207,32418,14.33333333,4.465908119,0.409090909,1,2
44180048.0,city scrape,"1st floor studio in Historic Brownstone 1800's across the street from Washington park. Beautiful woodwork throughout with all the comforts & amenities of home. Quiet area where you can walk or jog in the park or just enjoy a cup of coffee outside. Choice of restaurants and stores on Lark street, movie theater, hospitals and malls all in close proximity. We are located on State street in Albany in a desirable residential area. ((NO PARTIES!!))",355777684,https://www.airbnb.com/users/show/355777684,7/11/2020,"Albany, NY",within an hour,100%,97%,t,Central Avenue,3,3,"['email', 'phone']",t,t,Neighborhood highlights,SIXTH WARD,,42.65935,-73.76805,Entire rental unit,Entire home/apt,4,1.0,1 bath,0,1,"[""Park view"", ""Iron"", ""Crib"", ""Coffee maker"", ""Shampoo"", ""Refrigerator"", ""Long term stays allowed"", ""Exterior security cameras on property"", ""Essentials"", ""Cooking basics"", ""Self check-in"", ""Pack \u2019n play/Travel crib"", ""Kitchen"", ""First aid kit"", ""Smart lock"", ""Hangers"", ""TV"", ""Bathtub"", ""Bed linens"", ""Extra pillows and blankets"", ""Stove"", ""Fire extinguisher"", ""Private entrance"", ""Smoke alarm"", ""Air conditioning"", ""Hair dryer"", ""Free parking on premises"", ""Microwave"", ""Heating"", ""Carbon monoxide alarm"", ""Oven"", ""Hot water"", ""Wifi"", ""Free street parking"", ""Dishes and silverware""]",99,1,365,1,1,365,365,1.0,365.0,,t,9,28,43,298,367,35,1,177,41,210,20790,7/17/2020,4/14/2025,4.97,4.98,4.99,4.98,4.99,4.95,4.96,f,3,3,0,0,6.29,35,12206,38931,24.75,4.605170186,0.136363636,1,2
45529316.0,city scrape,"Newly renovated, modern and bright! Live in style in the heart of downtown Albany. Located at a PRIME location and walking distance to popular restaurants, and cafes on Lark Street. All the local attractions including The Egg, Empire State Plaza, Times Union Center are less than 5 minutes away. 4K Smart TV with Netflix, fully stocked kitchen & bathroom with all travel essentials, high speed internet ready for you to use! Free street parking. Available for long term stays!",47625981,https://www.airbnb.com/users/show/47625981,10/28/2015,"Albany, NY",within an hour,97%,97%,f,Mansion Area,19,19,"['email', 'phone']",t,t,Neighborhood highlights,SECOND WARD,,42.64821,-73.75793,Entire rental unit,Entire home/apt,3,1.0,1 bath,1,1,"[""Iron"", ""Coffee maker: Keurig coffee machine"", ""Coffee"", ""Luggage dropoff allowed"", ""Shampoo"", ""Refrigerator"", ""Long term stays allowed"", ""Exterior security cameras on property"", ""Essentials"", ""Toaster"", ""Cooking basics"", ""Freezer"", ""Electric stove"", ""Self check-in"", ""Paid parking lot off premises"", ""Conditioner"", ""Kitchen"", ""First aid kit"", ""Pets allowed"", ""Hangers"", ""Wine glasses"", ""TV"", ""Lockbox"", ""Fire extinguisher"", ""Private entrance"", ""Body soap"", ""Smoke alarm"", ""Air conditioning"", ""Hair dryer"", ""Clothing storage: closet"", ""Microwave"", ""Dining table"", ""Heating"", ""Carbon monoxide alarm"", ""Hot water"", ""Wifi"", ""Free street parking"", ""Cleaning products"", ""Laundromat nearby"", ""Dishwasher"", ""Dishes and silverware""]",108,1,1125,1,2,1125,1125,1.3,1125.0,,t,21,47,70,340,120,19,0,219,21,114,12312,1/26/2021,3/16/2025,4.78,4.83,4.88,4.85,4.93,4.48,4.72,f,18,18,0,0,2.31,41,12207,32418,36.0,4.691347882,0.818181818,1,2
45529447.0,city scrape,"Live in style! This TRENDY apt has top quality appliances, modern finishes and is located at a PRIME downtown Albany location. <br /><br />4K Smart TV with Netflix, fully stocked kitchen & bathroom with all travel essentials, high speed internet! Free street parking. Available for long term stays!<br /><br />**Important<br />To prevent underage parties, weekend bookings are only available for 25+. When reserving, please share a photo of your ID that matches your name on Airbnb or your LinkedIn profile.",47625981,https://www.airbnb.com/users/show/47625981,10/28/2015,"Albany, NY",within an hour,97%,97%,f,Mansion Area,19,19,"['email', 'phone']",t,t,Neighborhood highlights,SECOND WARD,,42.64713,-73.75628,Entire rental unit,Entire home/apt,4,1.0,1 bath,2,2,"[""Iron"", ""Coffee maker: Keurig coffee machine"", ""Coffee"", ""Luggage dropoff allowed"", ""Shampoo"", ""Refrigerator"", ""Long term stays allowed"", ""Exterior security cameras on property"", ""Essentials"", ""Cooking basics"", ""Freezer"", ""Self check-in"", ""Paid parking lot off premises"", ""Conditioner"", ""Kitchen"", ""Pets allowed"", ""Shower gel"", ""Hangers"", ""Wine glasses"", ""TV"", ""Room-darkening shades"", ""Bed linens"", ""Lockbox"", ""Extra pillows and blankets"", ""Stove"", ""Fire extinguisher"", ""Private entrance"", ""Body soap"", ""Smoke alarm"", ""Air conditioning"", ""Hair dryer"", ""Microwave"", ""Dining table"", ""Heating"", ""Carbon monoxide alarm"", ""Oven"", ""Hot water"", ""Wifi"", ""Free street parking"", ""Cleaning products"", ""Laundromat nearby"", ""Dishwasher"", ""Clothing storage"", ""Dishes and silverware""]",117,1,1125,1,2,1125,1125,1.3,1125.0,,t,19,46,71,222,144,21,1,222,24,126,14742,2/2/2021,4/21/2025,4.66,4.74,4.76,4.9,4.87,4.47,4.58,f,18,18,0,0,2.79,44,12207,32418,29.25,4.770684624,0.818181818,1,2
47943571.0,city scrape,"Charming 1 Bedroom + Workstation apartment in Downtown Albany. Centrally located and easy walking! Free Fast and Furious Arcade Game. Pets allowed! 2nd FL apartment with an elevator on site! <br /><br />Enjoy hardwood floors, a custom kitchen, soaking bathtub, and central AC. Features a Queen bed, pull-out couch, workstation with monitor, and free WiFi. Includes access to a shared washer/dryer. <br /><br />For long term stays over 1 month, a monthly parking space will be included. Parking garage close by.",385664127,https://www.airbnb.com/users/show/385664127,1/22/2021,"New York, NY",within an hour,100%,99%,t,Downtown,7,9,"['email', 'phone']",t,t,Neighborhood highlights,THIRD WARD,,42.65118,-73.75274,Entire rental unit,Entire home/apt,4,1.0,1 bath,1,2,"[""Breakfast"", ""Coffee maker: Keurig coffee machine"", ""Shampoo"", ""Refrigerator"", ""Long term stays allowed"", ""Exterior security cameras on property"", ""Essentials"", ""Toaster"", ""Cooking basics"", ""Freezer"", ""Free dryer \u2013 In building"", ""Barbecue utensils"", ""Electric stove"", ""Self check-in"", ""Conditioner"", ""Kitchen"", ""Pets allowed"", ""Shower gel"", ""Hangers"", ""Keypad"", ""TV"", ""Room-darkening shades"", ""Bathtub"", ""Bed linens"", ""Extra pillows and blankets"", ""Children\u2019s books and toys for ages 0-2 years old and 2-5 years old"", ""Fire extinguisher"", ""Body soap"", ""Board games"", ""Smoke alarm"", ""River view"", ""Free washer \u2013 In building"", ""Air conditioning"", ""Hair dryer"", ""Microwave"", ""Bluetooth Speaker Bluetooth sound system"", ""Crib - available upon request"", ""Central heating"", ""Dedicated workspace"", ""City skyline view"", ""Carbon monoxide alarm"", ""Oven"", ""Hot water"", ""Wifi"", ""Free street parking"", ""Cleaning products"", ""Elevator"", ""Laundromat nearby"", ""Dishes and silverware""]",92,2,1125,2,4,1125,1125,2.0,1125.0,,t,20,42,65,249,166,29,2,215,33,174,16008,2/14/2021,4/29/2025,4.88,4.93,4.97,4.95,4.89,4.9,4.86,t,2,2,0,0,3.24,49,12207,32418,23.0,4.532599493,0.090909091,1,2
50207226.0,city scrape,"BEAUTIFULLY renovated and stylish apartment with CHARACTER in a historic building. 4K Smart TV with Netflix, and high speed internet ready for you to use! This property comes with a fully stocked kitchen, in unit washer/dryer, free resident lot parking, and a fenced shared backyard with bbq for guests to enjoy. <br /><br />This unit is located on floor 1 and is available for long term stays.",47625981,https://www.airbnb.com/users/show/47625981,10/28/2015,"Albany, NY",within an hour,97%,97%,f,Mansion Area,19,19,"['email', 'phone']",t,t,Neighborhood highlights,FOURTH WARD,,42.65888,-73.74673,Entire rental unit,Entire home/apt,3,1.0,1 bath,1,2,"[""Iron"", ""Coffee maker: Keurig coffee machine"", ""Coffee"", ""Luggage dropoff allowed"", ""Shampoo"", ""Refrigerator"", ""Long term stays allowed"", ""Exterior security cameras on property"", ""Essentials"", ""Cooking basics"", ""Freezer"", ""Hot water kettle"", ""Self check-in"", ""Conditioner"", ""Kitchen"", ""Washer"", ""First aid kit"", ""Pets allowed"", ""Hangers"", ""Wine glasses"", ""TV"", ""Room-darkening shades"", ""Lockbox"", ""Stove"", ""Fire extinguisher"", ""Body soap"", ""Smoke alarm"", ""Air conditioning"", ""Hair dryer"", ""Free parking on premises"", ""Microwave"", ""Dining table"", ""Heating"", ""Dedicated workspace"", ""Dryer"", ""Carbon monoxide alarm"", ""Oven"", ""Hot water"", ""Wifi"", ""Free street parking"", ""Cleaning products"", ""Laundromat nearby"", ""Shared backyard \u2013 Fully fenced"", ""Dishwasher"", ""Clothing storage"", ""Dishes and silverware""]",104,1,1125,1,2,1125,1125,1.3,1125.0,,t,25,53,79,229,85,12,0,229,12,72,7488,6/9/2021,3/9/2025,4.84,4.91,4.81,4.92,4.94,4.52,4.81,f,18,18,0,0,1.79,46,12207,32418,34.66666667,4.65396035,0.818181818,1,2
50639032.0,city scrape,"Relax in the garden, swing in the hammock and read, walk to a nearby bar, or travel 8 minutes and go dancing or listen to some of the Capital Region's exceptional music. This centrally located space has it all!  Walking distance to local bars and restaurants, and a 15 minute drive to trails and state parks. Backyard fire pit, large garden with sitting areas, fruit trees, herbs, hammocks, and spaces to unwind, you won't even know you are in the city!",172539578,https://www.airbnb.com/users/show/172539578,2/9/2018,"Albany, NY",within an hour,100%,100%,f,,3,4,"['email', 'phone']",t,t,Neighborhood highlights,FIFTEENTH WARD,,42.67945,-73.81647,Private room in home,Private room,1,1.0,1 shared bath,1,1,"[""Books and reading material"", ""Iron"", ""Single level home"", ""Mini fridge"", ""Luggage dropoff allowed"", ""Window AC unit"", ""Coffee maker"", ""Hammock"", ""Sound system with Bluetooth and aux"", ""Refrigerator"", ""Long term stays allowed"", ""Exterior security cameras on property"", ""Private backyard \u2013 Fully fenced"", ""Essentials"", ""Cooking basics"", ""Freezer"", ""Piano"", ""Barbecue utensils"", ""Self check-in"", ""Baking sheet"", ""Lock on bedroom door"", ""Clothing storage: closet and dresser"", ""Kitchen"", ""First aid kit"", ""Portable fans"", ""Hangers"", ""Ceiling fan"", ""Free dryer \u2013 In unit"", ""Wine glasses"", ""TV"", ""Indoor fireplace"", ""Kayak"", ""Room-darkening shades"", ""Bathtub"", ""Bed linens"", ""Lockbox"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Free washer \u2013 In unit"", ""Private gym in building"", ""Body soap"", ""Board games"", ""BBQ grill"", ""Smoke alarm"", ""Stainless steel electric stove"", ""Hair dryer"", ""Free parking on premises"", ""Fire pit"", ""Shared patio or balcony"", ""Dining table"", ""Fast wifi \u2013 149 Mbps"", ""Stainless steel oven"", ""Exercise equipment"", ""Central heating"", ""Dedicated workspace"", ""Carbon monoxide alarm"", ""Hot water"", ""Record player"", ""Outdoor dining area"", ""Free street parking"", ""Cleaning products"", ""Blender"", ""Dishwasher"", ""Fireplace guards"", ""Dishes and silverware""]",44,3,1125,3,3,1125,1125,3.0,1125.0,,t,30,60,61,76,45,8,0,76,9,48,2112,9/26/2021,12/6/2024,4.93,4.84,4.82,4.96,4.96,4.91,4.91,f,3,1,2,0,1.03,65,12226,69505,44.0,3.80666249,0.136363636,0,2
